cited_author,wos-uid
"Boes, T.",WOS:000931459700003
"Coughlin, C.",WOS:000931459700003
"Magistrale, T.",WOS:000931459700003
"Ehland, C",WOS:000931459700003
"Golban, P",WOS:000931459700003
"Hage, Erik",WOS:000931459700003
"Punter, D.",WOS:000931459700003
"Punter, David",WOS:000931459700003
"Halberstam, J.",WOS:000931459700003
"Hayles, Katherine N.",WOS:000931459700003
"Madsen, M.",WOS:000931459700003
"Poe, KL.",WOS:000931459700003
"Swales, M.",WOS:000931459700003
"Beville, M.",WOS:000931459700003
"Botting, Fred",WOS:000931459700003
"Bell, Vereen M.",WOS:000931459700003
"du Toit, Cornel W.",WOS:000710829400001
"Yang, Julianne Q. M.",WOS:000710829400001
"Hallqvist, Johan",WOS:000710829400001
"Wicclair, Mark R.",WOS:000710829400001
"Jacobsen, Christine M.",WOS:000710829400001
"Zolman, Oliver N.",WOS:000710829400001
"Frey, Carl Benedikt",WOS:000710829400001
"Pedersen, Hans",WOS:000710829400001
"Koistinen, Aino-Kaisa",WOS:000710829400001
"Rae, Gavin",WOS:000710829400001
"Mali, J.",WOS:000710829400001
"Linnet, Jeppe Trolle",WOS:000710829400001
"Onishi, Bradley B.",WOS:000710829400001
"Bishop, Jeffrey P.",WOS:000710829400001
"Persson, Ingmar",WOS:000710829400001
"Henrich, Joseph",WOS:000710829400001
"Bortolotti, Lisa",WOS:000710829400001
"Kaplan, D",WOS:000710829400001
"HASSAN, I",WOS:000710829400001
"Descartes, R.",WOS:000710829400001
"Robbins, Bruce",WOS:000710829400001
"Harari, YN.",WOS:000710829400001
Ranieri,WOS:000710829400001
Habermas,WOS:000710829400001
"Antosca, AR.",WOS:000710829400001
"Berggren, H",WOS:000710829400001
O'Brien,WOS:000710829400001
"Roden, D.",WOS:000710829400001
Kurzweil,WOS:000710829400001
"Berggren, H.",WOS:000710829400001
"Derrida, Jacques",WOS:000710829400001
"Wolfe, C.",WOS:000710829400001
Ramey,WOS:000710829400001
Bostrom,WOS:000710829400001
"Mountfort, P.",WOS:000710829400001
"Yang, Andrew.",WOS:000710829400001
"Heidegger, Martin",WOS:000710829400001
"Michel, A.",WOS:000710829400001
"Sandberg, MB.",WOS:000710829400001
"Pedersen, JS.",WOS:000710829400001
"LaGrandeur, K.",WOS:000710829400001
"Richardson, John.",WOS:000710829400001
"Derrida, Jacques",WOS:000710829400001
"Clark, Andy",WOS:000710829400001
"Harari, YN.",WOS:000710829400001
"Bacon, F",WOS:000710829400001
